key,manual_tier,rating,tier_pin,tier_note,name,pos,team,total,ppg,Bye,Age,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,Tgt%,Rush%,RZTgt,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p00-0036963,2,313.76,2,,Amon-Ra St. Brown,WR,DET,265.5,15.62,6,26,,,,,,,172,117,1401,11,31.7,0.6,35,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0038543,2,311.88,2,,Jaxon Smith-Njigba,WR,SEA,300.4,17.67,11,24,,,,,,,163,119,1793,10,36.8,1.4,17,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0036322,2,310.01,2,,Justin Jefferson,WR,MIN,159.5,9.38,6,27,,,,,,,141,84,1048,2,30.7,0.4,19,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0040126,2,255.19,2,,Colston Loveland,TE,CHI,136.1,8.51,10,22,,,,,,,82,58,713,6,16.6,0.2,15,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0038996,2,253.19,2,,Tucker Kraft,TE,GB,101.2,12.65,11,25,,,,,,,44,32,489,6,19.0,0.5,12,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p00-0039065,2,251.19,2,,Sam LaPorta,TE,DET,86.9,9.66,6,25,,,,,,,49,40,489,3,18.5,0.0,6,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0033288,2,249.19,2,,George Kittle,TE,SF,133.0,12.09,8,32,,,,,,,69,57,628,7,21.5,0.2,13,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0037224,2,171.17,,,Cameron Dicker,K,LAC,163.0,9.59,7,26,,,,,,,,,,,,,,38,41,34,,,,,,,,,,,,,
p00-0032726,2,170.72,,,Ka'imi Fairbairn,K,HOU,186.0,12.4,8,32,,,,,,,,,,,,,,44,48,28,,,,,,,,,,,,,
p00-0031492,2,162.68,,,Jason Myers,K,SEA,197.0,11.59,11,35,,,,,,,,,,,,,,41,48,48,,,,,,,,,,,,,
p00-0039409,2,159.88,,,Cam Little,K,JAX,161.0,9.47,7,23,,,,,,,,,,,,,,30,34,50,,,,,,,,,,,,,
dMIN,2,136.4,2,,MIN,DST,MIN,132.0,7.76,6,,,,,,,,,,,,,,,,,,19.6,49,8,1,,,,,,,,,
dBAL,2,134.4,2,,BAL,DST,BAL,66.0,3.88,13,,,,,,,,,,,,,,,,,,23.4,30,11,1,,,,,,,,,
dNE,2,132.4,2,,NE,DST,NE,127.0,7.47,11,,,,,,,,,,,,,,,,,,18.8,34,10,4,,,,,,,,,
dPHI,2,130.4,2,,PHI,DST,PHI,122.0,7.18,10,,,,,,,,,,,,,,,,,,19.1,42,12,3,,,,,,,,,
dLAC,2,128.4,2,,LAC,DST,LAC,120.0,7.06,7,,,,,,,,,,,,,,,,,,20.0,45,19,0,,,,,,,,,
p00-0036355,3,390.47,3,,Justin Herbert,QB,LAC,297.9,18.62,7,28,3727,26,13,83,498,2,,,,,,,,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0039918,3,388.47,3,,Caleb Williams,QB,CHI,322.2,18.95,10,24,3942,27,7,77,383,3,,,,,,,,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0039910,3,386.47,3,,Jayden Daniels,QB,WAS,115.3,16.47,7,25,1262,8,3,58,278,2,,,,,,,,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0039732,3,384.47,3,,Bo Nix,QB,DEN,307.8,18.11,10,26,3931,25,11,83,356,5,,,,,,,,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0036223,3,372.82,3,,Jonathan Taylor,RB,IND,337.3,19.84,13,27,,,,323,1585,18,55,46,378,2,11.0,74.3,5,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0032764,3,370.82,3,,Derrick Henry,RB,BAL,272.0,16.0,13,32,,,,307,1595,16,21,15,150,0,4.9,59.8,2,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0037248,3,368.82,3,,James Cook,RB,BUF,285.7,16.81,7,26,,,,309,1621,12,40,33,291,2,8.2,58.1,3,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0034844,3,366.82,3,,Saquon Barkley,RB,PHI,211.8,13.24,10,29,,,,280,1140,7,50,37,273,2,12.1,62.3,8,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0040122,3,364.82,3,,Ashton Jeanty,RB,LV,217.6,12.8,13,22,,,,266,975,5,73,55,346,5,14.8,71.1,10,,,,,,,,4632,32,948,32,1317,32,3315,26,
p00-0036358,3,291.04,3,,CeeDee Lamb,WR,DAL,163.4,12.57,14,27,,,,,,,117,75,1077,3,25.1,0.2,17,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p00-0035676,3,289.17,3,,A.J. Brown,WR,NE,181.3,12.09,11,29,,,,,,,121,78,1003,7,28.7,0.0,13,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0036554,3,287.29,3,,Nico Collins,WR,HOU,188.7,12.58,8,27,,,,,,,120,71,1117,6,24.2,0.4,19,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0034351,3,235.08,3,,Dallas Goedert,TE,PHI,155.1,10.34,10,31,,,,,,,82,60,591,11,20.8,0.0,15,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0040128,3,233.08,3,,Tyler Warren,TE,IND,150.5,8.85,13,24,,,,,,,112,76,817,4,21.5,1.4,23,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0036040,3,231.08,3,,Juwan Johnson,TE,NO,141.4,8.32,8,29,,,,,,,102,77,889,3,17.7,0.0,8,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0040663,3,229.08,3,,Harold Fannin Jr.,TE,CLE,150.4,9.4,11,22,,,,,,,107,72,731,6,21.8,1.9,11,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0036970,3,227.08,3,,Kyle Pitts,TE,ATL,166.8,9.81,11,25,,,,,,,118,88,928,5,22.7,0.0,13,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p00-0039172,3,150.72,,,Jake Bates,K,DET,146.0,8.59,6,27,,,,,,,,,,,,,,27,34,54,,,,,,,,,,,,,
p00-0035358,3,148.01,,,Chase McLaughlin,K,TB,151.0,8.88,10,30,,,,,,,,,,,,,,32,38,32,,,,,,,,,,,,,
p00-0040200,3,145.1,,,Andy Borregales,K,NE,141.0,8.29,11,23,,,,,,,,,,,,,,27,32,53,,,,,,,,,,,,,
p00-0031136,3,144.36,,,Chris Boswell,K,PIT,146.0,8.59,9,35,,,,,,,,,,,,,,27,32,42,,,,,,,,,,,,,
p00-0033303,3,137.55,,,Harrison Butker,K,KC,139.0,8.18,5,31,,,,,,,,,,,,,,33,38,31,,,,,,,,,,,,,
p00-0033787,3,134.77,,,Jake Elliott,K,PHI,113.0,6.65,10,31,,,,,,,,,,,,,,20,27,41,,,,,,,,,,,,,
p00-0040074,3,134.17,,,Tyler Loop,K,BAL,134.0,7.88,13,25,,,,,,,,,,,,,,30,34,44,,,,,,,,,,,,,
dCHI,3,120.4,3,,CHI,DST,CHI,87.0,5.12,10,,,,,,,,,,,,,,,,,,24.4,35,23,2,,,,,,,,,
dKC,3,118.4,3,,KC,DST,KC,85.0,5.0,5,,,,,,,,,,,,,,,,,,19.3,33,10,0,,,,,,,,,
dCAR,3,116.4,3,,CAR,DST,CAR,97.0,5.71,5,,,,,,,,,,,,,,,,,,22.4,30,15,2,,,,,,,,,
dSF,3,114.4,3,,SF,DST,SF,55.0,3.24,8,,,,,,,,,,,,,,,,,,21.8,20,6,1,,,,,,,,,
dGB,3,112.4,3,,GB,DST,GB,81.0,4.76,11,,,,,,,,,,,,,,,,,,21.2,36,7,0,,,,,,,,,
dBUF,3,110.4,3,,BUF,DST,BUF,107.0,6.29,7,,,,,,,,,,,,,,,,,,21.5,36,13,2,,,,,,,,,
dDET,3,108.4,3,,DET,DST,DET,85.0,5.0,6,,,,,,,,,,,,,,,,,,24.3,48,13,1,,,,,,,,,
p00-0026498,4,359.31,4,,Matthew Stafford,QB,LA,358.4,21.08,11,38,4707,46,8,29,1,0,,,,,,,,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p00-0033873,4,357.31,4,,Patrick Mahomes,QB,KC,292.2,20.87,5,30,3587,22,11,64,422,5,,,,,,,,,,,,,,,5759,20,1061,15,1812,25,3947,16,
p00-0035228,4,355.31,4,,Kyler Murray,QB,MIN,80.8,16.16,6,29,962,6,3,29,173,1,,,,,,,,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0040666,4,339.38,4,,Omarion Hampton,RB,LAC,119.7,13.3,7,23,,,,124,545,4,35,32,192,1,11.8,54.8,2,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0037840,4,337.38,4,,Kyren Williams,RB,LA,245.3,14.43,11,26,,,,259,1252,10,50,36,281,3,8.1,57.3,10,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p00-0039040,4,335.38,4,,De'Von Achane,RB,MIA,289.3,18.08,6,24,,,,238,1350,8,85,67,488,4,18.8,61.3,11,,,,,,,,5366,26,949,31,2044,13,3322,25,
p00-0038597,4,333.38,4,,Chase Brown,RB,CIN,246.1,14.48,6,26,,,,232,1019,6,88,69,437,5,14.3,62.2,12,,,,,,,,5835,18,1057,16,1591,29,4244,7,
p00-0036973,4,331.38,4,,Travis Etienne,RB,NO,235.9,13.88,8,27,,,,260,1107,7,52,36,292,6,9.8,53.7,10,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0038134,4,329.38,4,,Kenneth Walker III,RB,KC,176.4,10.38,5,25,,,,221,1027,5,36,31,282,0,8.3,44.1,3,,,,,,,,5759,20,1061,15,1812,25,3947,16,
pLOV121782,4,327.38,4,,Jeremiyah Love,RB,ARI,0.0,0.0,14,,,,,,,,,,,,,,,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0031381,4,268.33,4,,Davante Adams,WR,LA,192.9,13.78,11,33,,,,,,,114,60,789,14,25.1,0.0,32,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p00-0037247,4,266.45,4,,George Pickens,WR,DAL,243.4,14.32,14,25,,,,,,,137,93,1429,9,22.5,0.0,23,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p00-0034827,4,264.57,4,,DJ Moore,WR,BUF,147.2,8.66,7,29,,,,,,,85,50,682,6,16.1,3.0,11,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0037238,4,262.7,4,,Drake London,WR,ATL,165.9,13.83,11,25,,,,,,,112,68,919,7,29.7,0.0,16,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p00-0037239,4,260.82,4,,Chris Olave,WR,NO,219.0,13.69,8,26,,,,,,,156,100,1163,9,29.2,0.4,15,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0036410,4,258.94,4,,Tee Higgins,WR,CIN,180.1,12.01,6,27,,,,,,,98,59,846,11,18.3,0.0,16,,,,,,,,5835,18,1057,16,1591,29,4244,7,
p00-0035659,4,257.06,4,,Terry McLaurin,WR,WAS,95.2,9.52,7,30,,,,,,,60,38,582,3,23.2,0.0,8,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0036912,4,255.19,4,,DeVonta Smith,WR,PHI,163.3,9.61,10,27,,,,,,,113,77,1008,4,24.6,0.0,12,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0036613,4,253.31,4,,Jaylen Waddle,WR,DEN,162.1,10.13,10,27,,,,,,,100,64,910,6,23.3,0.4,11,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0039067,4,251.43,4,,Rashee Rice,WR,KC,121.6,15.2,5,26,,,,,,,78,53,571,5,29.0,2.6,19,,,,,,,,5759,20,1061,15,1812,25,3947,16,
p00-0037740,4,249.56,4,,Garrett Wilson,WR,NYJ,81.5,11.64,13,26,,,,,,,59,36,395,4,35.4,0.0,5,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p00-0031408,4,247.68,4,,Mike Evans,WR,SF,69.8,8.73,8,33,,,,,,,62,30,368,3,24.3,0.0,9,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0039337,4,245.8,4,,Malik Nabers,WR,NYG,48.1,12.03,8,23,,,,,,,35,18,271,2,27.1,0.0,4,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0040124,4,243.92,4,,Tetairoa McMillan,WR,CAR,178.4,10.49,5,23,,,,,,,122,70,1014,7,25.7,0.0,15,,,,,,,,5281,27,1011,22,1977,19,3304,27,
p00-0039915,4,242.05,4,,Ladd McConkey,WR,LAC,147.9,9.24,7,24,,,,,,,106,66,789,6,21.1,0.0,15,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0030506,4,212.96,4,,Travis Kelce,TE,KC,153.2,9.01,5,36,,,,,,,108,76,851,5,20.0,0.1,13,,,,,,,,5759,20,1061,15,1812,25,3947,16,
p00-0038933,4,210.96,4,,Dalton Kincaid,TE,BUF,106.6,8.88,7,26,,,,,,,49,39,571,5,14.9,0.0,9,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0038041,4,208.96,4,,Jake Ferguson,TE,DAL,145.1,8.54,14,27,,,,,,,102,82,600,8,16.5,0.2,25,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p00-0033090,4,206.96,4,,Hunter Henry,TE,NE,148.8,8.75,11,31,,,,,,,87,60,768,7,17.4,0.0,22,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0033885,4,204.96,4,,David Njoku,TE,LAC,69.8,6.35,7,30,,,,,,,48,33,293,4,12.5,0.0,9,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0034753,4,202.96,4,,Mark Andrews,TE,BAL,107.0,6.29,13,31,,,,,,,70,48,422,5,17.1,1.9,15,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0031203,4,133.84,,,Cairo Santos,K,CHI,129.0,8.6,10,34,,,,,,,,,,,,,,25,30,39,,,,,,,,,,,,,
p00-0039404,4,133.27,,,Will Reichard,K,MIN,154.0,9.06,6,25,,,,,,,,,,,,,,33,35,31,,,,,,,,,,,,,
p00-0036162,4,127.17,,,Tyler Bass,K,BUF,0.0,0.0,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p00-0025565,4,125.2,,,Nick Folk,K,ATL,122.0,7.62,11,41,,,,,,,,,,,,,,28,29,22,,,,,,,,,,,,,
p00-0032569,4,124.64,,,Wil Lutz,K,DEN,124.0,7.29,10,32,,,,,,,,,,,,,,28,32,39,,,,,,,,,,,,,
p00-0034173,4,124.37,,,Eddy Pineiro,K,SF,135.0,9.64,8,30,,,,,,,,,,,,,,28,29,34,,,,,,,,,,,,,
p00-0036854,4,123.13,,,Evan McPherson,K,CIN,133.0,7.82,6,27,,,,,,,,,,,,,,25,28,41,,,,,,,,,,,,,
p00-0034794,4,116.5,,,Jason Sanders,K,NYJ,0.0,0.0,13,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p00-0035192,4,115.33,,,Joey Slye,K,TEN,129.0,8.06,9,30,,,,,,,,,,,,,,28,35,26,,,,,,,,,,,,,
p00-0038905,4,114.21,,,Blake Grupe,K,IND,121.0,7.56,13,27,,,,,,,,,,,,,,29,37,25,,,,,,,,,,,,,
dATL,4,100.4,4,,ATL,DST,ATL,108.0,6.35,11,,,,,,,,,,,,,,,,,,23.6,57,16,1,,,,,,,,,
dJAX,4,98.4,4,,JAX,DST,JAX,140.0,8.24,7,,,,,,,,,,,,,,,,,,19.8,32,22,4,,,,,,,,,
dNO,4,96.4,4,,NO,DST,NO,102.0,6.0,8,,,,,,,,,,,,,,,,,,22.5,44,10,1,,,,,,,,,
dIND,4,94.4,4,,IND,DST,IND,68.0,4.0,13,,,,,,,,,,,,,,,,,,24.2,39,14,1,,,,,,,,,
dDAL,4,92.4,4,,DAL,DST,DAL,20.0,1.18,14,,,,,,,,,,,,,,,,,,30.1,34,6,2,,,,,,,,,
dPIT,4,90.4,4,,PIT,DST,PIT,94.0,5.53,9,,,,,,,,,,,,,,,,,,22.8,48,15,1,,,,,,,,,
dTEN,4,88.4,4,,TEN,DST,TEN,58.0,3.41,9,,,,,,,,,,,,,,,,,,28.1,42,6,3,,,,,,,,,
dCLE,4,86.4,4,,CLE,DST,CLE,134.0,7.88,11,,,,,,,,,,,,,,,,,,22.3,53,11,3,,,,,,,,,
p00-0036442,5,330.14,5,,Joe Burrow,QB,CIN,139.5,17.43,6,29,1809,17,5,14,41,0,,,,,,,,,,,,,,,5835,18,1057,16,1591,29,4244,7,
p00-0036971,5,328.14,5,,Trevor Lawrence,QB,JAX,348.2,20.48,7,26,4007,29,12,82,359,9,,,,,,,,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p00-0034855,5,326.14,5,,Baker Mayfield,QB,TB,278.9,16.41,10,31,3693,26,11,55,382,1,,,,,,,,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0033077,5,324.14,5,,Dak Prescott,QB,DAL,317.8,18.69,14,33,4552,30,10,53,177,2,,,,,,,,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p00-0040691,5,322.14,5,,Jaxson Dart,QB,NYG,244.6,17.47,8,23,2272,15,5,86,487,9,,,,,,,,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0036997,5,301.94,5,,Javonte Williams,RB,DAL,225.3,14.08,14,26,,,,252,1201,11,51,35,137,2,8.6,59.4,12,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p00-0040730,5,299.94,5,,RJ Harvey,RB,DEN,183.1,10.77,10,25,,,,146,540,7,58,47,356,5,10.2,31.3,11,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0040734,5,297.94,5,,TreVeyon Henderson,RB,NE,188.7,11.1,11,23,,,,180,911,9,42,35,221,1,8.4,36.5,4,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0035700,5,295.94,5,,Josh Jacobs,RB,GB,219.1,14.61,11,28,,,,234,929,13,44,36,282,1,10.2,56.6,6,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p00-0038120,5,293.94,5,,Breece Hall,RB,NYJ,189.7,11.85,13,25,,,,243,1065,4,48,36,350,1,10.6,57.3,9,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p00-0036275,5,291.94,5,,D'Andre Swift,RB,CHI,211.6,13.22,10,27,,,,223,1087,9,48,34,299,1,9.4,48.0,1,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0039361,5,289.94,5,,Bucky Irving,RB,TB,123.5,12.35,10,24,,,,173,588,1,35,30,277,3,10.7,59.9,4,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0037664,5,223.08,5,,Alec Pierce,WR,IND,159.8,10.65,13,26,,,,,,,84,47,1003,6,17.6,0.0,9,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0035640,5,221.21,5,,DK Metcalf,WR,PIT,157.7,10.51,9,28,,,,,,,99,59,850,6,22.4,0.4,13,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0038117,5,219.33,5,,Wan'Dale Robinson,WR,TEN,171.9,10.74,9,25,,,,,,,140,92,1014,4,30.3,0.6,14,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0039064,5,217.45,5,,Zay Flowers,WR,BAL,200.3,11.78,13,25,,,,,,,118,86,1211,5,29.9,1.9,12,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0036244,5,188.85,5,,Colby Parkinson,TE,LA,108.3,7.74,11,27,,,,,,,56,43,408,8,11.7,0.0,22,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p00-0033881,5,186.85,5,,Evan Engram,TE,DEN,77.8,4.86,10,32,,,,,,,76,50,461,1,13.7,0.2,11,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0040189,5,184.85,5,,Oronde Gadsden II,TE,LAC,106.9,7.13,7,23,,,,,,,69,49,664,3,14.4,0.0,15,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0036894,5,182.85,5,,Pat Freiermuth,TE,PIT,93.1,6.21,9,27,,,,,,,54,41,486,4,11.3,0.0,9,,,,,,,,5388,25,988,28,1756,26,3632,22,
pKLE258860,5,180.85,5,,Marlin Klein,TE,HOU,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,,5808,19,1088,6,1852,22,3956,14,
pSTO806346,5,178.85,5,,Eli Stowers,TE,PHI,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0035229,5,176.85,5,,T.J. Hockenson,TE,MIN,87.3,5.82,6,29,,,,,,,66,51,438,3,15.9,0.3,11,,,,,,,,5049,28,954,30,1841,23,3208,30,
pBOE586077,5,174.85,5,,Nate Boerkircher,TE,JAX,0.0,0.0,7,,,,,,,,,,,,,,,,,,,,,,5982,11,1093,4,1956,20,4026,11,
pKLA269938,5,172.85,5,,Max Klare,TE,LA,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p00-0038129,5,170.85,5,,Cade Otton,TE,TB,92.7,6.18,10,27,,,,,,,81,59,572,1,17.4,0.0,7,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0039793,5,168.85,5,,AJ Barner,TE,SEA,121.3,7.14,11,24,,,,,,,68,52,519,6,13.8,1.9,13,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0037809,5,166.85,5,,Chig Okonkwo,TE,WAS,96.0,5.65,7,27,,,,,,,79,56,560,2,15.0,0.0,5,,,,,,,,5619,23,990,27,2290,4,3329,24,
pSAD482340,5,164.85,5,,Kenyon Sadiq,TE,NYJ,0.0,0.0,13,,,,,,,,,,,,,,,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p00-0034383,5,162.85,5,,Dalton Schultz,TE,HOU,136.7,8.04,8,30,,,,,,,106,82,777,3,19.1,0.0,12,,,,,,,,5808,19,1088,6,1852,22,3956,14,
pDelpOs01,5,160.85,5,,Oscar Delp,TE,NO,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,,5630,22,1075,11,1603,28,4027,10,
pROU550040,5,158.85,5,,Sam Roush,TE,CHI,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0035269,5,111.56,,,Matt Gay,K,LV,87.0,7.25,13,32,,,,,,,,,,,,,,17,23,26,,,,,,,,,,,,,
p00-0038567,5,106.08,,,Chad Ryland,K,ARI,125.0,7.35,14,26,,,,,,,,,,,,,,25,33,36,,,,,,,,,,,,,
p00-0040279,5,105.92,,,Ryan Fitzgerald,K,CAR,105.0,6.18,5,26,,,,,,,,,,,,,,24,29,27,,,,,,,,,,,,,
p00-0038428,5,96.07,,,Andre Szmyt,K,CLE,108.0,6.35,11,27,,,,,,,,,,,,,,24,27,25,,,,,,,,,,,,,
p00-0038562,5,89.58,,,Jake Moody,K,WAS,76.0,8.44,7,26,,,,,,,,,,,,,,19,23,15,,,,,,,,,,,,,
p00-0039498,5,79.25,,,Harrison Mevis,K,LA,79.0,8.78,11,24,,,,,,,,,,,,,,12,13,39,,,,,,,,,,,,,
dTB,5,78.4,5,,TB,DST,TB,86.0,5.06,10,,,,,,,,,,,,,,,,,,24.2,37,13,2,,,,,,,,,
dCIN,5,76.4,5,,CIN,DST,CIN,38.0,2.24,6,,,,,,,,,,,,,,,,,,28.9,34,13,2,,,,,,,,,
dNYG,5,74.4,5,,NYG,DST,NYG,44.0,2.59,8,,,,,,,,,,,,,,,,,,25.8,38,9,1,,,,,,,,,
dNYJ,5,72.4,5,,NYJ,DST,NYJ,22.0,1.29,13,,,,,,,,,,,,,,,,,,29.6,26,0,4,,,,,,,,,
dLV,5,70.4,5,,LV,DST,LV,73.0,4.29,13,,,,,,,,,,,,,,,,,,25.4,36,8,0,,,,,,,,,
dMIA,5,68.4,5,,MIA,DST,MIA,67.0,3.94,6,,,,,,,,,,,,,,,,,,24.9,39,9,1,,,,,,,,,
dWAS,5,66.4,5,,WAS,DST,WAS,41.0,2.41,7,,,,,,,,,,,,,,,,,,26.5,42,8,2,,,,,,,,,
dARI,5,64.4,5,,ARI,DST,ARI,37.0,2.18,14,,,,,,,,,,,,,,,,,,28.7,30,10,0,,,,,,,,,
